39 0.953 3
23 0.725 4
39 0.760 2
50 0.548 2
40 0.886 1
33 0.314 3
42 0.215 4
35 0.838 3
31 0.251 2
10 0.658 2
22 0.022 2
60 0.215 2
50 0.924 3
14 0.358 3
53 0.804 2
40 0.524 1
16 0.976 3
45 0.854 3
51 0.184 3
58 0.780 2
22 0.245 3
16 0.701 1
55 0.429 4
48 0.939 1
22 0.692 2
54 0.746 2
27 0.151 3
29 0.087 4
20 0.912 2
51 0.572 4
60 0.013 1
57 0.251 3
33 0.906 3
49 0.678 4
15 0.963 3
59 0.579 3
59 0.477 3
32 0.516 2
13 0.146 1
16 0.694 3
14 0.513 2
10 0.567 3
34 0.980 3
19 0.783 4
41 0.814 2
42 0.568 3
31 0.911 1
38 0.332 2
45 0.718 3
43 0.139 4
60 0.907 2
49 0.841 2
58 0.325 3
36 0.227 1
28 0.789 1
17 0.928 3
21 0.329 2
42 0.145 1
56 0.598 2
49 0.234 3
20 0.206 1
49 0.210 1
26 0.708 4
51 0.869 4
30 0.301 1
53 0.170 4
51 0.182 2
25 0.704 4
54 0.349 3
52 0.851 3
51 0.490 3
26 0.708 1
52 0.464 3
57 0.241 4
60 0.787 3
58 0.108 2
24 0.846 4
23 0.542 3
56 0.747 1
27 0.027 3
38 0.688 1
27 0.997 3
39 0.878 1
42 0.900 3
59 0.162 4
20 0.269 4
22 0.492 1
13 0.280 1
52 0.965 4
48 0.531 3
21 0.772 1
42 0.218 2
56 0.854 2
18 0.681 1
34 0.520 2
30 0.514 2
24 0.619 2
44 0.199 2
16 0.694 2
55 0.183 4
